date Thu Jul 23 09:38:20.686 am 2015
base hex  timestamps absolute
no internal events logged
// version 8.5.0
   0.781032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 2
   0.781032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   0.800000    SV: 2 0 1 ::WiperSystem::Active = 4b0
   0.800000    SV: 2 0 1 ::WiperSystem::Position = c
   0.801956    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 2
   0.801956    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   0.821032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 2
   0.821032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   0.841032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 2
   0.841032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   0.861032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 2
   0.861032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   0.881032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 2
   0.881032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   0.900000    SV: 2 0 1 ::WiperSystem::Active = 546
   0.900000    SV: 2 0 1 ::WiperSystem::Position = d
   0.901956    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 2
   0.901956    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   0.921032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 2
   0.921032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   0.941032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 2
   0.941032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   0.961032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 2
   0.961032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   0.981032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 2
   0.981032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.000000    SV: 2 0 1 ::LightSystem::OnOff = 7
   1.000000    SV: 2 0 1 ::WiperSystem::Active = 5dc
   1.000000    SV: 2 0 1 ::WiperSystem::Position = f
   1.001956    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 2
   1.001956    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.002488 2  Diag_Request_Tp                     Tx   d 8 02 10 81 00 00 00 00 00  Length = 1452000 BitCount = 124 ID = 512  // 2  OTP(01) Atom <tester>->Engine  : SF Length:   02         [ 10 81 ]
   1.002760    SV: 2 1 1 ::ComfortBus::DashboardTurnIndRightDisplay = None
   1.002760    SV: 2 1 1 ::ComfortBus::DashboardTurnIndLeftDisplay = None
   1.002760    SV: 2 1 1 ::ComfortBus::DashboardWarnIndDisplay = None
   1.003964 2  Diag_Response_Tp                    Tx   d 8 02 50 81 00 00 00 00 00  Length = 1440000 BitCount = 123 ID = 1024  // 2  OTP(02) Atom Engine -><tester>: SF Length:   02         [ 50 81 ]
   1.005464 2  Diag_Request_Tp                     Tx   d 8 02 3E 01 00 00 00 00 00  Length = 1464000 BitCount = 125 ID = 512  // 2  OTP(03) Atom <tester>->Engine  : SF Length:   02         [ 3E 01 ]
   1.006988 2  Diag_Response_Tp                    Tx   d 8 01 7E 00 00 00 00 00 00  Length = 1488000 BitCount = 127 ID = 1024  // 2  OTP(04) Atom Engine -><tester>: SF Length:   01         [ 7E ]
   1.021032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.021032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.041032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.041032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.061032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.061032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.081032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.081032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.100000    SV: 2 0 1 ::WiperSystem::Active = 546
   1.100000    SV: 2 0 1 ::WiperSystem::Position = d
   1.101956    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.101956    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
